slot,user_id,traffic_type,arrivals_bits,delivered_bits,capacity_bits,buffer_bits,sinr_linear,rbg_count
0,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
0,1,URLLC,882.0,882.0,466140.82221938553,0.0,459065516.66790885,3
0,2,mMTC,461.0,461.0,420777.7362791648,0.0,65907271.80327702,3
0,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
0,4,URLLC,858.0,858.0,548502.0179661575,0.0,15571072400.887222,3
0,5,mMTC,452.0,452.0,288479.4971601925,0.0,109857988.36116448,2
1,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
1,1,URLLC,926.0,926.0,466140.82221938553,0.0,459065516.66790885,3
1,2,mMTC,425.0,425.0,420777.7362791648,0.0,65907271.80327702,3
1,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
1,4,URLLC,875.0,875.0,548502.0179661575,0.0,15571072400.887222,3
1,5,mMTC,442.0,442.0,288479.4971601925,0.0,109857988.36116448,2
2,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
2,1,URLLC,902.0,902.0,466140.82221938553,0.0,459065516.66790885,3
2,2,mMTC,433.0,433.0,420777.7362791648,0.0,65907271.80327702,3
2,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
2,4,URLLC,889.0,889.0,548502.0179661575,0.0,15571072400.887222,3
2,5,mMTC,426.0,426.0,288479.4971601925,0.0,109857988.36116448,2
3,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
3,1,URLLC,901.0,901.0,466140.82221938553,0.0,459065516.66790885,3
3,2,mMTC,453.0,453.0,420777.7362791648,0.0,65907271.80327702,3
3,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
3,4,URLLC,876.0,876.0,548502.0179661575,0.0,15571072400.887222,3
3,5,mMTC,458.0,458.0,288479.4971601925,0.0,109857988.36116448,2
4,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
4,1,URLLC,852.0,852.0,466140.82221938553,0.0,459065516.66790885,3
4,2,mMTC,431.0,431.0,420777.7362791648,0.0,65907271.80327702,3
4,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
4,4,URLLC,876.0,876.0,548502.0179661575,0.0,15571072400.887222,3
4,5,mMTC,449.0,449.0,288479.4971601925,0.0,109857988.36116448,2
5,0,eMBB,40000.0,40000.0,555664.0526258769,0.0,21154567832.90881,3
5,1,URLLC,953.0,953.0,466140.82221938553,0.0,459065516.66790885,3
5,2,mMTC,452.0,452.0,420777.7362791648,0.0,65907271.80327702,3
5,3,eMBB,40000.0,40000.0,504706.2855345381,0.0,2390572449.284582,3
5,4,URLLC,844.0,844.0,548502.0179661575,0.0,15571072400.887222,3
5,5,mMTC,396.0,396.0,288479.4971601925,0.0,109857988.36116448,2
